Name of Entity,SEZ Status,Town/City,Parish
Alrobe International Corporation Limited,Occupant,Kingston,St. Andrew
AMGL/Account Outsourcing Group,Occupant,Montego Bay,St. James
AtPoint Limited,Occupant,Montego Bay,St. James
AtPoint Limited,Occupant,Portmore,St. Catherine
Avantmark Technologies Limited,Occupant,Montego Bay,St. James
Bashco Trading International,Occupant,Kingston,Kingston
Baywind Manufacturing,Occupant,Montego Bay,St. James
Business Process Industry Association of Jamaica Limited,Occupant,Montego Bay,St. James
Caribbean Auto Terminals,Occupant,Kingston,Kingston
ChinaMart Import and Export,Occupant,Kingston,St. Andrew
Collective Solutions Limited,Occupant,Tryall,Hanover
Concentrix/CNX,Occupant,Montego Bay,St. James
Conduent (BTP Lot 3),Occupant,Montego Bay,St. James
Conduent (BTP Lot 8),Occupant,Montego Bay,St. James
Conduent (BTP Lot 9),Occupant,Montego Bay,St. James
CSC Distributors,Occupant,Kingston,Kingston
Elephant Group (Centrefield),Occupant,Montego Bay,St. James
Fargo Electronics,Occupant,Montego Bay,St. James
Geenat Import/Export,Occupant,Montego Bay,St. James
Global Gateway Solutions (Contax 360),Occupant,Montego Bay,St. James
H & P Caribbean Maritime Services,Occupant,Kingston,Kingston
Harbour Cold Stores,Occupant,Kingston,Kingston
Horizon Telesource Jamaica Ltd.,Occupant,Montego Bay,St. James
IBHS/Infinity Behavorial Health Services,Occupant,Montego Bay,St. James
IBEX Global Jamaica Limited (Gtech Park),Occupant,Portmore,St. Catherine
Intelcia Jamaica Limited,Occupant,Kingston,Kingston
Island Outsourcers Limited (Chalmers),Occupant,Kingston,Kingston
Island Outsourcers Limited (CRL SEZ),Occupant,Montego Bay,St. James
Iterum Jamaica Limited,Occupant,Kingston,Kingston
Jamaica Agent Services (Stanley Motta),Occupant,Kingston,St. Andrew
Jamco Manufacturing Limited,Occupant,Kingston,Kingston
JamKing Warehousing and Distibution,Occupant,Kingston,St. Andrew
Jamsol Technologies Limited,Occupant,Portmore,St. Catherine
Kingston Logistics Center,Occupant,Kingston,Kingston
Kingston Wharves Group,Occupant,Kingston,Kingston
KW Logistics,Occupant,Kingston,Kingston
KW Stevedores,Occupant,Kingston,Kingston
Market Track Inc. (formally known as Media Track),Occupant,Montego Bay,St. James
McMan Construction,Occupant,Kingston,St. Andrew
Medimpex West Indies Limited,Occupant,Kingston,St. Andrew
National Credit Adjusters,Occupant,Montego Bay,St. James
National Pen Jamaica Ltd,Occupant,Montego Bay,St. James
Nearshore Inbound Call Experts Limited,Occupant,Montego Bay,St. James
Ocean J Towing Ltd,Occupant,Kingston,St. Andrew
Omni Nearshore Limited,Occupant,Montego Bay,Kingston
Omni Nearshore Limited,Occupant,Montego Bay,St. James
Quenpro International limited,Occupant,Kingston,Kingston
"Radius Global Solutions II, Inc. Jamaica Limited",Occupant,Montego Bay,St. James
Securities Administrators,Occupant,Kingston,Kingston
Strobe Communications Ltd,Occupant,Montego Bay,St. James
Sutherland (Portmore Informatics Park),Occupant,Portmore,St. Catherine
Synifex,Occupant,Kingston,Kingston
Teleperformance/Outsourcing Management,Occupant,Montego Bay,St. James
Total Trading Limited,Occupant,Kingston,St. Andrew
Transparent BPO Limited,Occupant,Kingston,St. Andrew
Unique Vacations,Occupant,Montego Bay,St. James
United Call Solutions (MBFZ),Occupant,Montego Bay,St. James
Western Storage,Occupant,Kingston,Kingston
VXI,Occupant,Kingston,St. Andrew
VXI (Expansion),Occupant,Kingston,St. Andrew
Aveda Trading Company Limited,Zone User,Kingston,Kingston
Betting Gaming & Lotteries Commission,Zone User,Kingston,St. Andrew
Creative Building Finishes,Zone User,Kingston,St. Andrew
Docian Hotel Supplies Company Limited,Zone User,Montego Bay,St. James
Gulf Caribbean,Zone User,Montego Bay,St. James
EcoLab Limited,Zone User,Montego Bay,St. James
HDB Distributors,Zone User,Kingston,Kingston
Jamaica Digiport International Limited,Zone User,Montego Bay,St. James
Laparkan Jamaica Limited,Zone User,Kingston,Kingston
LTN Logistics,Zone User,Kingston,Kingston
LiChris Wholesale,Zone User,Kingston,Kingston
Port Authority of Jamaica (RIM),Zone User,Kingston,Kingston
Price Good Wholesale,Zone User,Kingston,Kingston
Real Time Distribution & Logistics Limited,Zone User,Kingston,Kingston
S.N.H. Worldwide Trading Company Limited,Zone User,Kingston,Kingston
Stewart’s Auto Sales,Zone User,Kingston,Kingston
UTB Corporation,Zone User,Kingston,Kingston
Vikings Production Limited,Zone User,Montego Bay,St. James
Western Sports,Zone User,Kingston,Kingston
Wenqiao Corporation Limited,Zone User,Kingston,Kingston
