Name,Current Price,Change,Disclosure Date,Designation,Release,Code
JSCO Holdings,"2,635",65,2023/04/13,2023/04/14,2023/04/28,023440
DB,"2,235",70,2023/04/12,2023/04/13,2023/04/27,012030
Suprema ID,"75,200","7,600",2023/04/11,2023/04/12,2023/05/04,317770
CJ Bioscience,"24,400","1,100",2023/04/11,2023/04/12,2023/04/26,311690
TCC STEEL,"39,700","1,200",2023/04/11,2023/04/12,2023/04/26,002710
MIRAI,"29,950",150,2023/04/07,2023/04/10,2023/04/24,254490
SERONICS,"45,950","1,700",2023/04/07,2023/04/10,2023/04/24,042600
CosmoAM&T,"212,500","2,500",2023/04/07,2023/04/10,2023/04/24,005070
Gencurix,"3,160",100,2023/04/06,2023/04/07,2023/04/21,229000
Hydro Lithium,"33,200","1,700",2023/04/06,2023/04/07,2023/04/21,101670
KIM ANKOR OIL,678,7,2023/04/05,2023/04/06,2023/04/25,152550
N2TECH,"1,160",33,2023/04/05,2023/04/06,2023/04/21,227950
G Enone Energy,"12,520",280,2023/04/05,2023/04/06,2023/04/21,270520
CANARIABIO,"29,900","1,100",2023/04/05,2023/04/06,2023/04/21,016790
Genesystem,"21,950",50,2023/04/05,2023/04/06,2023/04/20,363250
EV.A.M.,"8,930",20,2023/04/05,2023/04/06,2023/04/14,131400
Dynamic Design,"6,950",330,2023/04/04,2023/04/05,2023/04/25,145210
RFsemi,"20,950","1,450",2023/04/03,2023/04/04,2023/04/12,096610
JOONGANGDNM,"4,630",170,2023/03/30,2023/03/31,2023/04/20,051980
ENPLUS,"10,970",0,2023/03/30,2023/03/31,2023/04/19,074610
Urban Lithium,"23,400","1,500",2023/03/29,2023/03/30,2023/04/13,073570
POSCO M-TECH,"26,050",550,2023/03/29,2023/03/30,2023/04/13,009520
EG,"19,730",520,2023/03/28,2023/03/29,2023/04/12,037370
IsuChem,"33,650",550,2023/03/27,2023/03/28,2023/04/13,005950
Kumyang,"59,400",900,2023/03/24,2023/03/27,2023/04/12,001570
KCS,"8,830",150,2023/03/24,2023/03/27,2023/04/10,115500
TOP MATERIAL,"67,100","1,000",2023/03/24,2023/03/27,2023/04/10,360070
NEUROMEKA,"36,000",500,2023/03/23,2023/03/24,2023/04/07,348340
KANGWON ENERGY,"28,000",0,2023/03/22,2023/03/23,2023/04/12,114190
SELVAS Healthcare,"6,920",260,2023/03/22,2023/03/23,2023/04/06,208370
Zaigle,"18,220",80,2023/03/22,2023/03/23,2023/03/30,234920
ASTA,"9,500",240,2023/03/21,2023/03/22,2023/04/11,246720
SamaAlum,"113,800","1,800",2023/03/21,2023/03/22,2023/04/05,006110
Sukgyung,"61,600",500,2023/03/21,2023/03/22,2023/04/05,357550
EMRO,"45,600",450,2023/03/17,2023/03/20,2023/04/06,058970
NARASOFT,52,5,2023/03/16,2023/03/17,2023/03/31,288490
Plumbline Life Sciences,"5,640",450,2023/03/09,2023/03/10,2023/03/24,222670
LEMON,"7,800",250,2023/03/08,2023/03/09,2023/03/29,294140
COSMOCHEM,"54,500",400,2023/03/08,2023/03/09,2023/03/23,005420
IsuChem,"33,650",550,2023/03/07,2023/03/08,2023/03/23,005950
DPECO,"4,010",0,2023/03/06,2023/03/07,2023/03/22,163430
meerecompany,"35,300","1,100",2023/03/03,2023/03/06,2023/03/21,049950
SELVAS AI,"18,920","1,130",2023/02/24,2023/02/27,2023/03/15,108860
Konan Technology,"73,700","1,700",2023/02/24,2023/02/27,2023/03/14,402030
SELVAS Healthcare,"6,920",260,2023/02/23,2023/02/24,2023/03/21,208370
NOVMETAPHARMA,"13,550",940,2023/02/21,2023/02/22,2023/03/09,229500
SUN-MC,"1,500",100,2023/02/16,2023/02/17,2023/03/06,116100
INNOGENE,"3,480",5,2023/02/15,2023/02/16,2023/02/20,344860
VIVOZON PHARMACEUTICAL,789,17,2023/02/09,2023/02/10,2023/02/24,082800
KOR CIRC(2PB),"9,120",310,2023/02/09,2023/02/10,2023/02/24,00781K
OBZEN,"39,200","1,950",2023/02/08,2023/02/09,2023/02/23,417860
K.M.G(1P),"9,660",110,2023/02/07,2023/02/08,2023/02/23,45014K
PSMC,"5,040",180,2023/02/03,2023/02/06,2023/02/24,024850
Tamul,"9,690","1,210",2023/02/03,2023/02/06,2023/02/21,093640
GALAXIA SM,"2,435",15,2023/02/02,2023/02/03,2023/02/17,011420
MiraeING,"1,772",31,2023/02/01,2023/02/02,2023/02/16,007120
KTcs,"3,300",85,2023/01/31,2023/02/01,2023/02/16,058850
VAIV company,"9,470",90,2023/01/31,2023/02/01,2023/02/15,301300
SALTLUX,"25,700",950,2023/01/30,2023/01/31,2023/02/14,304100
Alchera,"10,560",280,2023/01/30,2023/01/31,2023/02/14,347860
SELVAS AI,"18,920","1,130",2023/01/27,2023/01/30,2023/02/13,108860
Konan Technology,"73,700","1,700",2023/01/26,2023/01/27,2023/02/17,402030
KIM ANKOR OIL,678,7,2023/01/18,2023/01/19,2023/02/06,152550
SHIN STEEL,"3,840",130,2023/01/02,2023/01/03,2023/01/17,162300
Kumbi,"92,500","3,300",2022/12/27,2022/12/28,2023/01/12,008870
KIM ANKOR OIL,678,7,2022/12/19,2022/12/20,2022/12/27,152550
OUTIN,"3,325",140,2022/12/16,2022/12/19,2023/01/04,227610
DYD,"1,879",389,2022/12/15,2022/12/16,2023/01/02,219550
Finger Story,"5,200",140,2022/12/15,2022/12/16,2023/01/02,417180
JOONGANGDNM,"4,630",170,2022/12/14,2022/12/15,2023/01/02,051980
SHT-6 SPAC,-,-,2022/12/14,2022/12/15,2022/12/29,344050
CBI,"2,780",285,2022/12/13,2022/12/14,2022/12/28,013720
SCM,"6,500",100,2022/12/06,2022/12/07,2022/12/28,298060
Dongbu(1P),"29,000",350,2022/12/02,2022/12/05,2022/12/19,005965
KolonGlobal(1P),"22,000",600,2022/12/01,2022/12/02,2022/12/16,003075
Dynamic Design,"6,950",330,2022/11/30,2022/12/01,2022/12/15,145210
KYUNGDONG INVEST,"93,100","2,200",2022/11/29,2022/11/30,2022/12/14,012320
In the F,"1,344",43,2022/11/28,2022/11/29,2022/12/13,014990
RMRI,"22,100",950,2022/11/25,2022/11/28,2022/12/12,200350
Picogram,"10,680",20,2022/11/23,2022/11/24,2022/12/08,376180
KH Construction,319,0,2022/11/18,2022/11/21,2022/12/05,226360
STX,"9,140",150,2022/11/17,2022/11/18,2022/12/06,011810
ShinpoongPharm(1P),"29,600","1,200",2022/11/16,2022/11/17,2022/12/01,019175
G Enone Energy,"12,520",280,2022/11/15,2022/11/16,2022/12/01,270520
DSOL,621,35,2022/11/14,2022/11/15,2022/11/29,096350
Kumyang,"59,400",900,2022/11/09,2022/11/10,2022/11/24,001570
CNT Dream,"3,050",0,2022/11/08,2022/11/09,2022/11/29,286000
HEERIM,"9,160",250,2022/11/07,2022/11/08,2022/11/22,037440
In the F,"1,344",43,2022/11/04,2022/11/07,2022/11/11,014990
WI,"23,400","1,500",2022/10/25,2022/10/26,2022/11/09,073570
VIETNAM DEVELOP1,-,-,2022/10/25,2022/10/26,2022/11/09,096300
KYUNGDONG INVEST,"93,100","2,200",2022/10/24,2022/10/25,2022/11/16,012320
KSEC,"33,200","1,700",2022/10/19,2022/10/20,2022/11/07,101670
StemLab,"1,250",73,2022/10/19,2022/10/20,2022/11/04,258540
In the F,"1,344",43,2022/10/19,2022/10/20,2022/11/03,014990
IBKS No.12 SPAC,"2,020",40,2022/10/14,2022/10/17,2022/10/31,335870
CODI-M,"5,710",40,2022/10/12,2022/10/13,2022/11/11,224060
CBI,"2,780",285,2022/10/12,2022/10/13,2022/10/27,013720
Dynamic Design,"6,950",330,2022/10/07,2022/10/11,2022/10/28,145210
SKNetworks(1P),"32,900","2,850",2022/10/06,2022/10/07,2022/10/24,001745
VIETNAM DEVELOP1,-,-,2022/09/28,2022/09/29,2022/10/07,096300
Yuanta SPAC 7,-,-,2022/09/23,2022/09/26,2022/10/13,367460
WI,"23,400","1,500",2022/09/23,2022/09/26,2022/10/07,073570
Ocean Stone,-,-,2022/09/22,2022/09/23,2022/10/12,329020
HWACHEON,"5,150",395,2022/09/21,2022/09/22,2022/10/07,010660
Yangjisa,"19,400",650,2022/09/20,2022/09/21,2022/10/06,030960
YeSUN Tech,967,3,2022/09/14,2022/09/15,2022/09/29,250930
IBKS No.12 SPAC,"2,020",40,2022/09/07,2022/09/08,2022/09/19,335870
KSEC,"33,200","1,700",2022/09/05,2022/09/06,2022/10/04,101670
STCUBE,"15,980",360,2022/09/01,2022/09/02,2022/09/26,052020
HUSTEEL,"6,290",10,2022/08/31,2022/09/01,2022/09/19,005010
Kumyang,"59,400",900,2022/08/12,2022/08/16,2022/09/05,001570
G2Power,"12,810",160,2022/08/12,2022/08/16,2022/08/30,388050
Yangjisa,"19,400",650,2022/08/11,2022/08/12,2022/08/29,030960
Energy Material Tech,"5,040",45,2022/08/11,2022/08/12,2022/08/29,232530
HanChang Biotech,"1,555",105,2022/08/09,2022/08/10,2022/08/25,043090
Modata,"3,125",70,2022/08/05,2022/08/08,2022/08/23,288980
MOATECH,"5,230",20,2022/07/22,2022/07/25,2022/08/08,033200
Yangjisa,"19,400",650,2022/07/21,2022/07/22,2022/08/05,030960
STCUBE,"15,980",360,2022/07/20,2022/07/21,2022/08/08,052020
Ocean Stone,-,-,2022/07/19,2022/07/20,2022/08/03,329020
JOKWANG ILI,732,0,2022/07/18,2022/07/19,2022/08/02,044060
09WOMEN,"9,070",40,2022/07/15,2022/07/18,2022/08/01,366030
GWV,742,17,2022/07/15,2022/07/18,2022/08/01,036180
ILDONG HOLDINGS,"9,510",20,2022/07/13,2022/07/14,2022/07/28,000230
SK NO.5 SPAC,-,-,2022/07/12,2022/07/13,2022/07/27,337450
NANOCMS,"15,850",150,2022/07/08,2022/07/11,2022/07/26,247660
Modata,"3,125",70,2022/07/06,2022/07/07,2022/07/22,288980
Yooshin,"34,500","2,150",2022/07/06,2022/07/07,2022/07/21,054930
SAMSUNG SPAC VI,"3,085",45,2022/07/05,2022/07/06,2022/07/20,425290
HEERIM,"9,160",250,2022/07/05,2022/07/06,2022/07/20,037440
Silicon2,"7,100",380,2022/06/30,2022/07/01,2022/07/20,257720
METALABS,"3,320",70,2022/06/30,2022/07/01,2022/07/15,090370
LEMON,"7,800",250,2022/06/21,2022/06/22,2022/07/06,294140
09WOMEN,"9,070",40,2022/06/15,2022/06/16,2022/07/01,366030
CHUNGDAMGLOBAL,"8,070",110,2022/06/13,2022/06/14,2022/06/28,362320
Hanchang,698,2,2022/06/09,2022/06/10,2022/06/24,005110
Hantop,"2,055",45,2022/06/08,2022/06/09,2022/06/23,002680
KNOTUS,"3,960",70,2022/06/07,2022/06/08,2022/06/23,278650
HENG SHENG GROUP,319,0,2022/06/03,2022/06/07,2022/06/21,900270
