Name,Current Price,Change,Disclosure Date,Designation,Release,Code
SINGSONGHOLDINGS,"12,820",710,2023/06/15,2023/06/16,-,006880
INSAN,"3,230",250,2023/06/15,2023/06/16,-,277410
ISUSPECIALTYCHEMICAL,"436,500","16,500",2023/06/08,2023/06/09,2023/06/16,457190
DOBU MASK,"1,084",191,2023/06/07,2023/06/08,-,227420
AXGATE,"5,690",80,2023/06/07,2023/06/08,-,356680
JLK,"11,580",20,2023/06/07,2023/06/08,-,322510
LiComm,"3,645",295,2023/05/26,2023/05/30,2023/06/15,388790
SambuConst,"3,800",875,2023/05/24,2023/05/25,2023/06/16,001470
SOLUX,"25,800","1,850",2023/05/17,2023/05/18,2023/06/09,290690
SJMH,"4,760",110,2023/05/16,2023/05/17,2023/06/01,025530
Dgenx,"1,645",75,2023/05/16,2023/05/17,2023/06/01,113810
DSMBIO,"11,540",260,2023/05/15,2023/05/16,2023/05/31,036480
Crystal New Material,"4,140",55,2023/05/12,2023/05/15,2023/05/30,900250
KIM ANKOR OIL,678,7,2023/05/11,2023/05/12,2023/05/26,152550
DuckYangInd,"8,380",250,2023/05/10,2023/05/11,2023/05/25,024900
LiComm,"3,645",295,2023/05/09,2023/05/10,2023/05/24,388790
RFsemi,"20,950","1,450",2023/05/08,2023/05/09,2023/05/23,096610
EV.A.M.,"8,930",20,2023/05/02,2023/05/03,2023/05/19,131400
KD,824,5,2023/05/02,2023/05/03,2023/05/18,044180
SamwhaElec,"8,780",60,2023/04/27,2023/04/28,2023/05/23,011230
NOUSBO,"2,915",160,2023/04/26,2023/04/27,2023/05/15,332290
Exergy21,"1,555",105,2023/04/24,2023/04/25,2023/05/11,043090
Cosnine,975,51,2023/04/21,2023/04/24,2023/05/10,082660
VitzroSys,697,15,2023/04/20,2023/04/21,2023/05/09,054220
RIFA,"23,150",500,2023/04/20,2023/04/21,2023/05/09,000760
SM BEXEL,"2,420",40,2023/04/19,2023/04/20,2023/05/08,010580
NSN,832,12,2023/04/19,2023/04/20,2023/05/08,031860
Zaigle,"18,220",80,2023/04/19,2023/04/20,2023/05/08,234920
GENEMATRIX,"3,855",5,2023/04/18,2023/04/19,2023/05/04,109820
E.T.I,899,0,2023/04/17,2023/04/18,2023/05/08,024810
T-ROBOTICS,"16,520",740,2023/04/17,2023/04/18,2023/05/04,117730
MiCo Bio,"4,770",80,2023/04/17,2023/04/18,2023/05/03,214610
TERA SCIENCE,"6,300",430,2023/04/17,2023/04/18,2023/05/03,073640
POSCO M-TECH,"26,050",550,2023/04/17,2023/04/18,2023/05/03,009520
Setopia,"3,440",115,2023/04/14,2023/04/17,2023/05/04,222810
ORGANIC TEA COSMETICS,186,0,2023/04/13,2023/04/14,2023/04/28,900300
