Name,Current Price,Change,Disclosure Date,Designation,Code
MIRAEJ321KOSPI200- C,-,-,6/5/2023,6/7/2023,52J321
MIRAEJ327KOSPI200- C,-,-,6/5/2023,6/7/2023,52J327
MIRAEJ347KOSPI200- P,-,-,6/5/2023,6/7/2023,52J347
MIRAEJ558KOSPI200- C,240,35,6/5/2023,6/7/2023,52J558
SUNGHO,"1,667",7,6/5/2023,6/7/2023,43260
3CTY,"4,000",590,6/2/2023,6/5/2023,52960
Fidelix,"2,225",55,6/2/2023,6/5/2023,32580
Gold&S,"1,742",22,6/2/2023,6/5/2023,35290
JLK,"11,600","1,080",6/2/2023,6/5/2023,322510
KBHN74KOSPI200- C,-,-,6/2/2023,6/5/2023,58HN74
KBHN75KOSPI200- C,-,-,6/2/2023,6/5/2023,58HN75
KISHAPTKOSPI200- C,455,55,6/2/2023,6/5/2023,57HAPT
KISHP66KOSPI200- C,-,-,6/2/2023,6/5/2023,57HP66
MIRAEJ320KOSPI200- C,-,-,6/2/2023,6/5/2023,52J320
MIRAEJ321KOSPI200- C,-,-,6/2/2023,6/5/2023,52J321
MIRAEJ347KOSPI200- P,-,-,6/2/2023,6/5/2023,52J347
Shinhan 7th SPAC,"3,780",5,6/2/2023,6/5/2023,366330
Soosung Salvacion,"1,070",22,6/2/2023,6/5/2023,84180
SurplusGLOBAL,"4,650",10,6/2/2023,6/5/2023,140070
Fidelix,"2,225",55,6/1/2023,6/2/2023,32580
Gold&S,"1,742",22,6/1/2023,6/2/2023,35290
HLB Therapeutics,"5,200",200,6/1/2023,6/2/2023,115450
ISUPETASYS,"22,200","2,680",6/1/2023,6/2/2023,7660
JLK,"11,600","1,080",6/1/2023,6/2/2023,322510
KBHN73KOSPI200- C,-,-,6/1/2023,6/2/2023,58HN73
KBJ091KOSPI200- P,-,-,6/1/2023,6/2/2023,58J091
KBJ092KOSPI200- P,-,-,6/1/2023,6/2/2023,58J092
KISHZ53SKH- C,-,-,6/1/2023,6/2/2023,57HZ53
MIRAEJ320KOSPI200- C,-,-,6/1/2023,6/2/2023,52J320
MIRAEJ344KOSPI200- P,-,-,6/1/2023,6/2/2023,52J344
MIRAEJ346KOSPI200- P,-,-,6/1/2023,6/2/2023,52J346
MIRAEJ398CELLTRIO- C,-,-,6/1/2023,6/2/2023,52J398
S&S TECH,"61,900",300,6/1/2023,6/2/2023,101490
CrystalGenomics,"4,920",220,5/31/2023,6/1/2023,83790
Dgenx,"1,720",100,5/31/2023,6/1/2023,113810
Fidelix,"2,225",55,5/31/2023,6/1/2023,32580
Gold&S,"1,742",22,5/31/2023,6/1/2023,35290
Haisung TPC,"7,820",90,5/31/2023,6/1/2023,59270
ISUPETASYS,"22,200","2,680",5/31/2023,6/1/2023,7660
JLK,"11,600","1,080",5/31/2023,6/1/2023,322510
KBJ089KOSPI200- P,-,-,5/31/2023,6/1/2023,58J089
KBJ091KOSPI200- P,-,-,5/31/2023,6/1/2023,58J091
KISHAPNKOSPI200- C,80,15,5/31/2023,6/1/2023,57HAPN
KISHS67KOSPI200- C,-,-,5/31/2023,6/1/2023,57HS67
MIRAEJ320KOSPI200- C,-,-,5/31/2023,6/1/2023,52J320
MIRAEJ321KOSPI200- C,-,-,5/31/2023,6/1/2023,52J321
NOUSBO,"2,755",40,5/31/2023,6/1/2023,332290
SJMH,"4,870",20,5/31/2023,6/1/2023,25530
UIL,"4,285",155,5/31/2023,6/1/2023,49520
CSA Cosmic,"1,551",49,5/30/2023,5/31/2023,83660
CrystalGenomics,"4,920",220,5/30/2023,5/31/2023,83790
DSMBIO,"11,800",320,5/30/2023,5/31/2023,36480
Englewood Lab,"8,720",170,5/30/2023,5/31/2023,950140
Fidelix,"2,225",55,5/30/2023,5/31/2023,32580
Fidelix,"2,225",55,5/30/2023,5/31/2023,32580
Haisung TPC,"7,820",90,5/30/2023,5/31/2023,59270
ISUPETASYS,"22,200","2,680",5/30/2023,5/31/2023,7660
JLK,"11,600","1,080",5/30/2023,5/31/2023,322510
KBJ089KOSPI200- P,-,-,5/30/2023,5/31/2023,58J089
KISHS83KOSPI200- P,-,-,5/30/2023,5/31/2023,57HS83
Lunit,"99,600","1,700",5/30/2023,5/31/2023,328130
MIRAEJ320KOSPI200- C,-,-,5/30/2023,5/31/2023,52J320
MIRAEJ321KOSPI200- C,-,-,5/30/2023,5/31/2023,52J321
NOUSBO,"2,755",40,5/30/2023,5/31/2023,332290
SR biotek,"4,955",10,5/30/2023,5/31/2023,270210
AbClon,"20,250",950,5/26/2023,5/30/2023,174900
CSA Cosmic,"1,551",49,5/26/2023,5/30/2023,83660
CSA Cosmic,"1,551",49,5/26/2023,5/30/2023,83660
Crystal New Material,"4,085",130,5/26/2023,5/30/2023,900250
ESTsoft,"16,810",760,5/26/2023,5/30/2023,47560
Englewood Lab,"8,720",170,5/26/2023,5/30/2023,950140
ITEYES,"10,910",420,5/26/2023,5/30/2023,372800
KISHAQEKOSPI200- P,5,5,5/26/2023,5/30/2023,57HAQE
KISHS68KOSPI200- C,-,-,5/26/2023,5/30/2023,57HS68
MIRAEJ320KOSPI200- C,-,-,5/26/2023,5/30/2023,52J320
MIRAEJ321KOSPI200- C,-,-,5/26/2023,5/30/2023,52J321
MIRAEJ328KOSPI200- C,-,-,5/26/2023,5/30/2023,52J328
NOUSBO,"2,755",40,5/26/2023,5/30/2023,332290
NOUSBO,"2,755",40,5/26/2023,5/30/2023,332290
DYD,"1,490",44,5/25/2023,5/26/2023,219550
Englewood Lab,"8,720",170,5/25/2023,5/26/2023,950140
KIM ANKOR OIL,671,19,5/25/2023,5/26/2023,152550
KUKBO,"7,470",600,5/25/2023,5/26/2023,1140
MIRAEHARPLG CHEM- C,-,-,5/25/2023,5/26/2023,52HARP
MIRAEJ320KOSPI200- C,-,-,5/25/2023,5/26/2023,52J320
MIRAEJ321KOSPI200- C,-,-,5/25/2023,5/26/2023,52J321
MIRAEJ328KOSPI200- C,-,-,5/25/2023,5/26/2023,52J328
MIRAEJ341KOSPI200- P,-,-,5/25/2023,5/26/2023,52J341
MIRAEJ408DENBT- C,-,-,5/25/2023,5/26/2023,52J408
RYUK-IL C&S,"3,755",70,5/25/2023,5/26/2023,191410
BCNC,"21,650",800,5/24/2023,5/25/2023,146320
DuckYangInd,"8,630",80,5/24/2023,5/25/2023,24900
Englewood Lab,"8,720",170,5/24/2023,5/25/2023,950140
KISHP68KOSPI200- C,-,-,5/24/2023,5/25/2023,57HP68
MGEN,"3,265",165,5/24/2023,5/25/2023,32790
MGEN,"3,265",165,5/24/2023,5/25/2023,32790
MIRAEJ320KOSPI200- C,-,-,5/24/2023,5/25/2023,52J320
MIRAEJ321KOSPI200- C,-,-,5/24/2023,5/25/2023,52J321
MIRAEJ322KOSPI200- C,-,-,5/24/2023,5/25/2023,52J322
MIRAEJ555KOSPI200- C,75,15,5/24/2023,5/25/2023,52J555
POSCO M-TECH,"26,600",400,5/24/2023,5/25/2023,9520
SY,"4,715",490,5/24/2023,5/25/2023,109610
WOOYANG,"4,315",125,5/24/2023,5/25/2023,103840
AXGATE,"5,770",280,5/23/2023,5/24/2023,356680
DYD,"1,490",44,5/23/2023,5/24/2023,219550
ISUPETASYS,"22,200","2,680",5/23/2023,5/24/2023,7660
KBJ100KOSPI200- C,115,20,5/23/2023,5/24/2023,58J100
KISHAPNKOSPI200- C,80,15,5/23/2023,5/24/2023,57HAPN
KISHAPVKOSPI200- C,590,75,5/23/2023,5/24/2023,57HAPV
KISHP69KOSPI200- C,-,-,5/23/2023,5/24/2023,57HP69
KISHP81KOSPI200- P,-,-,5/23/2023,5/24/2023,57HP81
KISHS83KOSPI200- P,-,-,5/23/2023,5/24/2023,57HS83
LiComm,"3,940",15,5/23/2023,5/24/2023,388790
MGEN,"3,265",165,5/23/2023,5/24/2023,32790
MIRAEJ320KOSPI200- C,-,-,5/23/2023,5/24/2023,52J320
MIRAEJ321KOSPI200- C,-,-,5/23/2023,5/24/2023,52J321
MIRAEJ322KOSPI200- C,-,-,5/23/2023,5/24/2023,52J322
MIRAEJ329KOSPI200- C,-,-,5/23/2023,5/24/2023,52J329
MIRAI,"29,800",600,5/23/2023,5/24/2023,254490
SambuConst,"2,925",275,5/23/2023,5/24/2023,1470
T-ROBOTICS,"15,780",690,5/23/2023,5/24/2023,117730
INVENIA,"1,777",22,5/22/2023,5/23/2023,79950
KISHAPVKOSPI200- C,590,75,5/22/2023,5/23/2023,57HAPV
KISHP82KOSPI200- P,-,-,5/22/2023,5/23/2023,57HP82
KISHP85KOSPI200- P,-,-,5/22/2023,5/23/2023,57HP85
META,"4,555",125,5/22/2023,5/23/2023,59210
MIRAEJ317KOSPI200- C,-,-,5/22/2023,5/23/2023,52J317
MIRAEJ318KOSPI200- C,-,-,5/22/2023,5/23/2023,52J318
RFsemi,"22,400",150,5/22/2023,5/23/2023,96610
SamwhaElec,"8,720",70,5/22/2023,5/23/2023,11230
BioInfra Life Science,550,0,5/19/2023,5/22/2023,266470
CTLS,426,0,5/19/2023,5/22/2023,139050
CTLS,426,0,5/19/2023,5/22/2023,139050
KISHAPVKOSPI200- C,590,75,5/19/2023,5/22/2023,57HAPV
KISHP70KOSPI200- C,-,-,5/19/2023,5/22/2023,57HP70
KISHP82KOSPI200- P,-,-,5/19/2023,5/22/2023,57HP82
MIRAEJ316KOSPI200- C,-,-,5/19/2023,5/22/2023,52J316
MIRAEJ317KOSPI200- C,-,-,5/19/2023,5/22/2023,52J317
MIRAEJ318KOSPI200- C,-,-,5/19/2023,5/22/2023,52J318
MIRAEJ319KOSPI200- C,-,-,5/19/2023,5/22/2023,52J319
Synergy Innovation,"2,530",5,5/19/2023,5/22/2023,48870
EV.A.M.,"8,910",90,5/18/2023,5/19/2023,131400
G.Y.TECH,"3,355",15,5/18/2023,5/19/2023,53270
INVENIA,"1,777",22,5/18/2023,5/19/2023,79950
JYP Ent.,"136,000","1,000",5/18/2023,5/19/2023,35900
KBJQ00KOSPI200- C,-,-,5/18/2023,5/19/2023,58JQ00
KISHAPVKOSPI200- C,590,75,5/18/2023,5/19/2023,57HAPV
