Issue Name,Code,Date,Suspension Time Start,Suspension Time End,Trading Restart Time,Reason,Trading Halts Details,Trading Halts Notice,Trading Halts Notice URL
"Qol Holdings Co.,Ltd.",3034,"May 16, 2023",15:00,15:15,15:16,An announcement was made related to merger,Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
fonfun corporation,2323,"May 15, 2023",16:30,16:45,16:46,An announcement was made related to tender offer,Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
PC DEPOT CORPORATION,7618,"May 15, 2023",16:00,16:25,16:26,"An announcement was made related to tender offer, Designated to a issue under supervision",Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
RYOYO ELECTRO CORPORATION,8068,"May 15, 2023",15:31,15:45,15:46,An announcement was made related to merger,Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
"Ryosan Company,Limited",8140,"May 15, 2023",15:31,15:45,15:46,An announcement was made related to merger,Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
"SANKYO FRONTIER CO.,LTD.",9639,"May 15, 2023",15:01,15:15,15:16,An announcement was made related to amendment of financial report,Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
"DDS,Inc.",3782,"May 15, 2023",13:19,16:15,16:16,An announcement was made related to the internal management system,Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
"SAKAI TRADING CO.,LTD.",9967,"May 12, 2023",16:31,16:55,16:56,"An announcement was made related to tender offer, Designated to a issue under supervision",Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
"Sakai Chemical Industry Co.,Ltd.",4078,"May 12, 2023",16:31,16:45,16:46,An announcement was made related to tender offer,Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
"Interworks,Inc.",6032,"May 12, 2023",16:30,16:45,16:46,An announcement was made related to tender offer,Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
