Name,Current Price,Change,Disclosure Date,Designation,Release,Code
ISUSPECIALTYCHEMICAL,"420,000",0,6/15/2023,6/16/2023,-,457190
KIM ANKOR OIL,671,19,4/24/2023,4/25/2023,5/12/2023,152550
RFsemi,"22,400",150,4/19/2023,4/21/2023,5/9/2023,96610
EV.A.M.,"8,910",90,4/13/2023,4/14/2023,5/3/2023,131400
RFsemi,"22,400",150,4/11/2023,4/12/2023,4/21/2023,96610
Zaigle,"18,140",140,3/29/2023,3/30/2023,4/20/2023,234920
KIM ANKOR OIL,671,19,1/2/2023,1/4/2023,1/19/2023,152550
KIM ANKOR OIL,671,19,12/26/2022,12/27/2022,1/4/2023,152550
In the F,"1,301",143,11/10/2022,11/11/2022,11/29/2022,14990
WI,"24,900",700,10/6/2022,10/7/2022,10/26/2022,73570
VIETNAM DEVELOP1,-,-,10/6/2022,10/7/2022,10/26/2022,96300
KSEC,"34,900","1,200",9/30/2022,10/4/2022,10/20/2022,101670
IBKS No.12 SPAC,"2,060",30,9/27/2022,9/29/2022,10/17/2022,335870
IBKS No.12 SPAC,"2,060",30,9/16/2022,9/19/2022,9/29/2022,335870
STCUBE,"16,340",540,8/17/2022,8/19/2022,9/2/2022,52020
STCUBE,"16,340",540,8/5/2022,8/8/2022,8/19/2022,52020
Modata,"3,195",50,7/21/2022,7/22/2022,8/8/2022,288980
09WOMEN,"9,030",160,6/30/2022,7/1/2022,7/18/2022,366030
